person_name,time_ms,ecg_raw,ecg_centered_bandpass_wavelet_db4_level3,ppg_ir_raw,ppg_ir_wavelet_db4_level3,ppg_red_raw
unknown,281,2150,509.052096,,,
unknown,282,2363,690.706258,,,
unknown,283,2587,874.351087,,,
unknown,284,2819,1057.534635,,,
unknown,285,3066,1237.115730,,,
unknown,286,3357,1410.908244,,,
unknown,287,3692,1576.085953,,,
unknown,288,4048,1731.939033,,,
unknown,289,4095,1876.024316,,,
unknown,290,4095,2008.973794,,,
unknown,291,4095,2129.129817,,,
unknown,292,4095,2236.302634,,,
unknown,293,4095,2329.592337,,,
unknown,294,4095,2409.774323,,,
unknown,295,4095,2476.285638,,,
unknown,296,4095,2527.617360,,,
unknown,297,4095,2563.469387,,,
unknown,298,4095,2582.396783,,,
unknown,299,4095,2583.630155,,,
unknown,300,4095,2565.506044,,,
unknown,301,4095,2526.994967,,,
unknown,302,4095,2466.480656,,,
unknown,303,4095,2382.707214,,,
unknown,304,4095,2275.148778,,,
unknown,305,4095,2142.533839,,,
unknown,306,4095,1986.868356,,,
unknown,307,4095,1807.617456,,,
unknown,308,3900,1607.909760,,,
unknown,309,3525,1388.841885,,,
unknown,310,3152,1156.529740,,,
unknown,311,2806,913.645044,,,
unknown,312,2471,666.386313,,,
unknown,313,2142,418.767112,,,
unknown,314,1821,178.676177,,,
unknown,315,1523,-48.922382,,,
unknown,316,1279,-258.529314,,,
unknown,317,1078,-444.348103,,,
unknown,318,931,-602.480559,,,
unknown,319,839,-727.896218,,,
unknown,320,803,-819.733904,,,
unknown,321,816,-875.003064,,,
unknown,322,870,-896.030138,,,
unknown,323,959,-882.596136,,,
unknown,324,1076,-838.653484,,,
unknown,325,1200,-766.509732,,,
unknown,326,1328,-673.646373,,,
unknown,327,1455,-563.969929,,,
unknown,328,1575,-444.533856,,,
unknown,329,1678,-320.498663,,,
unknown,330,1753,-198.837722,,,
unknown,331,1813,-85.371878,,,
unknown,332,1851,15.856771,,,
unknown,333,1871,99.332750,,,
unknown,334,1873,164.028192,,,
unknown,335,1871,206.509254,,,
unknown,336,1858,227.628355,,,
unknown,337,1840,226.417918,,,
unknown,338,1819,206.962517,,,
unknown,339,1801,170.275020,,,
unknown,340,1779,121.081959,,,
unknown,341,1764,61.737730,,,
unknown,342,1747,-1.319588,,,
unknown,343,1738,-64.711027,,,
unknown,344,1726,-125.119679,,,
unknown,345,1717,-178.361293,,,
unknown,346,1710,-222.672148,,,
unknown,347,1698,-254.669753,,,
unknown,348,1683,-274.726871,,,
unknown,349,1667,-280.923663,,,
unknown,350,1648,-276.063133,,,
unknown,351,1627,-259.815998,,,
unknown,352,1607,-235.460549,,,
unknown,353,1590,-203.845014,,,
unknown,354,1582,-169.669827,,,
unknown,355,1577,-134.807771,,,
unknown,356,1582,-101.560498,,,
unknown,357,1598,-72.591628,,,
unknown,358,1616,-49.358228,,,
unknown,359,1638,-34.261731,,,
unknown,360,1664,-26.595818,,,
unknown,361,1692,-28.108660,,,
